Year,Month,Yearmon,Deaths,Race,Population,Rate,n
2012,2,Feb 2012,191,Hispanic,47525706,0.40188776995758885,2012.0833333333333
2012,2,Feb 2012,418,White,200698847,0.20827224782213125,2012.0833333333333
2012,3,Mar 2012,15,Indian,2620501,0.5724096270140709,2012.1666666666667
2012,3,Mar 2012,25,Asian,17175596,0.14555535656521032,2012.1666666666667
2012,3,Mar 2012,699,Black,40391388,1.7305669218398732,2012.1666666666667
2012,3,Mar 2012,208,Hispanic,47525706,0.43765788560826424,2012.1666666666667
2012,3,Mar 2012,457,White,200698847,0.22770434749931576,2012.1666666666667
2012,4,Apr 2012,18,Indian,2620501,0.6868915524168852,2012.25
2012,4,Apr 2012,25,Asian,17175596,0.14555535656521032,2012.25
2012,4,Apr 2012,639,Black,40391388,1.582020404943747,2012.25
2012,4,Apr 2012,217,Hispanic,47525706,0.4565950056586219,2012.25
2012,4,Apr 2012,474,White,200698847,0.23617474992270385,2012.25
2012,5,May 2012,13,Indian,2620501,0.4960883434121948,2012.3333333333333
2012,5,May 2012,18,Asian,17175596,0.10479985672695141,2012.3333333333333
2012,5,May 2012,722,Black,40391388,1.787509753316722,2012.3333333333333
2012,5,May 2012,216,Hispanic,47525706,0.45449088120858216,2012.3333333333333
2012,5,May 2012,458,White,200698847,0.2282026064653974,2012.3333333333333
2012,6,Jun 2012,22,Indian,2620501,0.8395341196206374,2012.4166666666667
2012,6,Jun 2012,35,Asian,17175596,0.20377749919129443,2012.4166666666667
2012,6,Jun 2012,712,Black,40391388,1.7627520005007007,2012.4166666666667
2012,6,Jun 2012,235,Hispanic,47525706,0.49446924575933704,2012.4166666666667
2012,6,Jun 2012,450,White,200698847,0.22421653473674416,2012.4166666666667
2012,7,Jul 2012,31,Indian,2620501,1.18297989582908,2012.5
2012,7,Jul 2012,29,Asian,17175596,0.16884421361564395,2012.5
2012,7,Jul 2012,792,Black,40391388,1.9608140230288693,2012.5
2012,7,Jul 2012,250,Hispanic,47525706,0.5260311125099331,2012.5
2012,7,Jul 2012,517,White,200698847,0.257599885464215,2012.5
2012,8,Aug 2012,15,Indian,2620501,0.5724096270140709,2012.5833333333333
2012,8,Aug 2012,36,Asian,17175596,0.20959971345390283,2012.5833333333333
2012,8,Aug 2012,775,Black,40391388,1.9187258432416336,2012.5833333333333
2012,8,Aug 2012,247,Hispanic,47525706,0.5197187391598139,2012.5833333333333
2012,8,Aug 2012,462,White,200698847,0.230195642329724,2012.5833333333333
2012,9,Sep 2012,25,Indian,2620501,0.9540160450234516,2012.6666666666667
2012,9,Sep 2012,27,Asian,17175596,0.15719978509042715,2012.6666666666667
2012,9,Sep 2012,758,Black,40391388,1.8766376634543978,2012.6666666666667
2012,9,Sep 2012,240,Hispanic,47525706,0.5049898680095357,2012.6666666666667
2012,9,Sep 2012,422,White,200698847,0.21026528368645786,2012.6666666666667
2012,10,Oct 2012,31,Indian,2620501,1.18297989582908,2012.75
2012,10,Oct 2012,42,Asian,17175596,0.24453299902955333,2012.75
2012,10,Oct 2012,651,Black,40391388,1.6117297083229722,2012.75
2012,10,Oct 2012,244,Hispanic,47525706,0.5134063658096947,2012.75
2012,10,Oct 2012,462,White,200698847,0.230195642329724,2012.75
2012,11,Nov 2012,16,Indian,2620501,0.610570268815009,2012.8333333333333
2012,11,Nov 2012,26,Asian,17175596,0.15137757082781872,2012.8333333333333
2012,11,Nov 2012,665,Black,40391388,1.6463905622654018,2012.8333333333333
2012,11,Nov 2012,225,Hispanic,47525706,0.47342800125893975,2012.8333333333333
