"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2016"	"2016"	"Aug., 2016"	"2016/08"	1804	Not Applicable	Not Applicable
	"2016"	"2016"	"Sep., 2016"	"2016/09"	1675	Not Applicable	Not Applicable
	"2016"	"2016"	"Oct., 2016"	"2016/10"	1678	Not Applicable	Not Applicable
	"2016"	"2016"	"Nov., 2016"	"2016/11"	1720	Not Applicable	Not Applicable
	"2016"	"2016"	"Dec., 2016"	"2016/12"	1609	Not Applicable	Not Applicable
"Total"	"2016"	"2016"			19362	Not Applicable	Not Applicable
	"2017"	"2017"	"Jan., 2017"	"2017/01"	1726	Not Applicable	Not Applicable
	"2017"	"2017"	"Feb., 2017"	"2017/02"	1428	Not Applicable	Not Applicable
	"2017"	"2017"	"Mar., 2017"	"2017/03"	1467	Not Applicable	Not Applicable
	"2017"	"2017"	"Apr., 2017"	"2017/04"	1530	Not Applicable	Not Applicable
	"2017"	"2017"	"May, 2017"	"2017/05"	1688	Not Applicable	Not Applicable
	"2017"	"2017"	"Jun., 2017"	"2017/06"	1670	Not Applicable	Not Applicable
	"2017"	"2017"	"Jul., 2017"	"2017/07"	1803	Not Applicable	Not Applicable
	"2017"	"2017"	"Aug., 2017"	"2017/08"	1651	Not Applicable	Not Applicable
	"2017"	"2017"	"Sep., 2017"	"2017/09"	1595	Not Applicable	Not Applicable
	"2017"	"2017"	"Oct., 2017"	"2017/10"	1725	Not Applicable	Not Applicable
	"2017"	"2017"	"Nov., 2017"	"2017/11"	1647	Not Applicable	Not Applicable
	"2017"	"2017"	"Dec., 2017"	"2017/12"	1580	Not Applicable	Not Applicable
"Total"	"2017"	"2017"			19510	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	1674	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	1376	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	1449	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	1572	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	1559	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	1674	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	1755	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	1607	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	1613	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	1512	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	1483	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	1556	Not Applicable	Not Applicable
"Total"	"2018"	"2018"			18830	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	1574	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	1356	Not Applicable	Not Applicable
	"2019"	"2019"	"Mar., 2019"	"2019/03"	1467	Not Applicable	Not Applicable
	"2019"	"2019"	"Apr., 2019"	"2019/04"	1444	Not Applicable	Not Applicable
	"2019"	"2019"	"May, 2019"	"2019/05"	1662	Not Applicable	Not Applicable
	"2019"	"2019"	"Jun., 2019"	"2019/06"	1673	Not Applicable	Not Applicable
	"2019"	"2019"	"Jul., 2019"	"2019/07"	1729	Not Applicable	Not Applicable
	"2019"	"2019"	"Aug., 2019"	"2019/08"	1639	Not Applicable	Not Applicable
	"2019"	"2019"	"Sep., 2019"	"2019/09"	1647	Not Applicable	Not Applicable
	"2019"	"2019"	"Oct., 2019"	"2019/10"	1610	Not Applicable	Not Applicable
	"2019"	"2019"	"Nov., 2019"	"2019/11"	1625	Not Applicable	Not Applicable
	"2019"	"2019"	"Dec., 2019"	"2019/12"	1715	Not Applicable	Not Applicable
"Total"	"2019"	"2019"			19141	Not Applicable	Not Applicable
"Total"					372186	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2019"
"Query Parameters:"
"Injury Intent: Homicide"
"Group By: Year; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Jun 29, 2021 10:48:54 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2019 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2019, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Jun 29, 2021 10:48:54 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"4. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"5. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
